Name	Type	File	Tempo Offset	Min Var
Cello F2	String	cello/cello_F2_025_forte_arco-normal.wav	0	0
Cello F3	String	cello/cello_F3_025_forte_arco-normal.wav	0	25
Cello A2	String	cello/cello_A2_025_forte_arco-normal.wav	0	0
Cello A3	String	cello/cello_A3_025_forte_arco-normal.wav	0	25
Cello C3	String	cello/cello_C3_025_forte_arco-normal.wav	0	0
Cello C4	String	cello/cello_C4_025_forte_arco-normal.wav	0	25
Cello G2	String	cello/cello_G2_025_forte_arco-normal.wav	0.5	50
Cello G3	String	cello/cello_G3_025_forte_arco-normal.wav	0.5	75
Cello B2	String	cello/cello_B2_025_forte_arco-normal.wav	0.5	50
Cello B3	String	cello/cello_B3_025_forte_arco-normal.wav	0.5	75
Cello D3	String	cello/cello_D3_025_forte_arco-normal.wav	0.5	50
Cello D4	String	cello/cello_D4_025_forte_arco-normal.wav	0.5	75
Trumpet F4	Brass	trumpet/trumpet_F4_025_forte_normal.wav	0	0
Trumpet F5	Brass	trumpet/trumpet_F5_025_forte_normal.wav	0	25
Trumpet A4	Brass	trumpet/trumpet_A4_025_forte_normal.wav	0	0
Trumpet A5	Brass	trumpet/trumpet_A5_025_forte_normal.wav	0	25
Trumpet C5	Brass	trumpet/trumpet_C5_025_forte_normal.wav	0	0
Trumpet C6	Brass	trumpet/trumpet_C6_025_forte_normal.wav	0	25
Trumpet G4	Brass	trumpet/trumpet_G4_025_forte_normal.wav	0.5	50
Trumpet G5	Brass	trumpet/trumpet_G5_025_forte_normal.wav	0.5	75
Trumpet B4	Brass	trumpet/trumpet_B4_025_forte_normal.wav	0.5	50
Trumpet B5	Brass	trumpet/trumpet_B5_025_forte_normal.wav	0.5	75
Trumpet D5	Brass	trumpet/trumpet_D5_025_forte_normal.wav	0.5	50
Trumpet D6	Brass	trumpet/trumpet_D6_025_forte_normal.wav	0.5	75
Flute F5	Wind	flute/flute_F5_025_forte_normal.wav	0	0
Flute F6	Wind	flute/flute_F6_025_forte_normal.wav	0	25
Flute A5	Wind	flute/flute_A5_025_forte_normal.wav	0	0
Flute A6	Wind	flute/flute_A6_025_forte_normal.wav	0	25
Flute C6	Wind	flute/flute_C6_025_forte_normal.wav	0	0
Flute C7	Wind	flute/flute_C7_025_forte_normal.wav	0	25
Flute G5	Wind	flute/flute_G5_025_forte_normal.wav	0.5	50
Flute G6	Wind	flute/flute_G6_025_forte_normal.wav	0.5	75
Flute B5	Wind	flute/flute_B5_025_forte_normal.wav	0.5	50
Flute B6	Wind	flute/flute_B6_025_forte_normal.wav	0.5	75
Flute D6	Wind	flute/flute_D6_025_forte_normal.wav	0.5	50
Flute D7	Wind	flute/flute_D7_025_forte_normal.wav	0.5	75
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0	50
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0	25
Bass MF Rute	Percussion	percussion/bass-drum__025_mezzo-forte_rute.wav	0	0
Woodblock	Percussion	percussion/woodblock__025_mezzo-forte_struck-singly.wav	0	0
Bass F Mallet	Percussion	percussion/bass-drum__025_forte_bass-drum-mallet.wav	0.5	75
Bass MF Mallet	Percussion	percussion/bass-drum__025_mezzo-forte_bass-drum-mallet.wav	0.5	50
