Name	Type	File	Tempo Offset	Min Var	Max Var
Cello E3	String	cello/cello_E3_1_forte_arco-normal.wav	0	91	100
Cello D3	String	cello/cello_D3_1_forte_arco-normal.wav	0	81	90
Cello C3	String	cello/cello_C3_1_forte_arco-normal.wav	0	71	80
Cello B2	String	cello/cello_B2_1_forte_arco-normal.wav	0	61	70
Cello A2	String	cello/cello_A2_1_forte_arco-normal.wav	0	51	60
Cello G2	String	cello/cello_G2_1_forte_arco-normal.wav	0	41	50
Cello F2	String	cello/cello_F2_1_forte_arco-normal.wav	0	31	40
Cello E2	String	cello/cello_E2_1_forte_arco-normal.wav	0	21	30
Cello D2	String	cello/cello_D2_1_forte_arco-normal.wav	0	11	20
Cello C2	String	cello/cello_C2_1_forte_arco-normal.wav	0	0	10
Trumpet E5	Brass	trumpet/trumpet_E5_1_forte_normal.wav	0	91	100
Trumpet D5	Brass	trumpet/trumpet_D5_1_forte_normal.wav	0	81	90
Trumpet C5	Brass	trumpet/trumpet_C5_1_forte_normal.wav	0	71	80
Trumpet B4	Brass	trumpet/trumpet_B4_1_forte_normal.wav	0	61	70
Trumpet A4	Brass	trumpet/trumpet_A4_1_forte_normal.wav	0	51	60
Trumpet G4	Brass	trumpet/trumpet_G4_1_forte_normal.wav	0	41	50
Trumpet F4	Brass	trumpet/trumpet_F4_1_forte_normal.wav	0	31	40
Trumpet E4	Brass	trumpet/trumpet_E4_1_forte_normal.wav	0	21	30
Trumpet D4	Brass	trumpet/trumpet_D4_1_forte_normal.wav	0	11	20
Trumpet C4	Brass	trumpet/trumpet_C4_1_forte_normal.wav	0	0	10
Flute E7	Wind	flute/flute_E5_1_forte_normal.wav	0	91	100
Flute D7	Wind	flute/flute_D5_1_forte_normal.wav	0	81	90
Flute C7	Wind	flute/flute_C5_1_forte_normal.wav	0	71	80
Flute B6	Wind	flute/flute_B4_1_forte_normal.wav	0	61	70
Flute A6	Wind	flute/flute_A4_1_forte_normal.wav	0	51	60
Flute G6	Wind	flute/flute_G4_1_forte_normal.wav	0	41	50
Flute F6	Wind	flute/flute_F4_1_forte_normal.wav	0	31	40
Flute E6	Wind	flute/flute_E4_1_forte_normal.wav	0	21	30
Flute D6	Wind	flute/flute_D4_1_forte_normal.wav	0	11	20
Flute C6	Wind	flute/flute_C4_1_forte_normal.wav	0	0	10
Guitar E5	Percussion	guitar/guitar_E5_very-long_forte_normal.wav	0	91	100
Guitar D5	Percussion	guitar/guitar_D5_very-long_forte_normal.wav	0	81	90
Guitar C5	Percussion	guitar/guitar_C5_very-long_forte_normal.wav	0	71	80
Guitar B4	Percussion	guitar/guitar_B4_very-long_forte_normal.wav	0	61	70
Guitar A4	Percussion	guitar/guitar_A4_very-long_forte_normal.wav	0	51	60
Guitar G4	Percussion	guitar/guitar_G4_very-long_forte_normal.wav	0	41	50
Guitar F4	Percussion	guitar/guitar_F4_very-long_forte_normal.wav	0	31	40
Guitar E4	Percussion	guitar/guitar_E4_very-long_forte_normal.wav	0	21	30
Guitar D4	Percussion	guitar/guitar_D4_very-long_forte_normal.wav	0	11	20
Guitar C4	Percussion	guitar/guitar_C4_very-long_forte_normal.wav	0	0	10
